No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,datetime,pm25_24h,aqi_class,hour_sin,hour_cos,dow,is_weekend,PM10_lag1,SO2_lag1,NO2_lag1,CO_lag1,O3_lag1,TEMP_lag1,PRES_lag1,DEWP_lag1,RAIN_lag1,WSPM_lag1,PM10_lag3,SO2_lag3,NO2_lag3,CO_lag3,O3_lag3,TEMP_lag3,PRES_lag3,DEWP_lag3,RAIN_lag3,WSPM_lag3,PM10_lag24,SO2_lag24,NO2_lag24,CO_lag24,O3_lag24,TEMP_lag24,PRES_lag24,DEWP_lag24,RAIN_lag24,WSPM_lag24,is_labeled
1,2013,3,1,0,4.0,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Aotizhongxin,2013-03-01 00:00:00,,,0.0,1.0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False
2,2013,3,1,1,8.0,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,N,4.7,Aotizhongxin,2013-03-01 01:00:00,,,0.25881904510252074,0.9659258262890683,4,0,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,4.4,,,,,,,,,,,,,,,,,,,,,False
3,2013,3,1,2,7.0,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,Aotizhongxin,2013-03-01 02:00:00,,,0.49999999999999994,0.8660254037844387,4,0,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,4.7,,,,,,,,,,,,,,,,,,,,,False
4,2013,3,1,3,6.0,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,NW,3.1,Aotizhongxin,2013-03-01 03:00:00,,,0.7071067811865476,0.7071067811865476,4,0,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,5.6,4.0,4.0,7.0,300.0,77.0,-0.7,1023.0,-18.8,0.0,4.4,,,,,,,,,,,False
5,2013,3,1,4,3.0,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,N,2.0,Aotizhongxin,2013-03-01 04:00:00,,,0.8660254037844386,0.5000000000000001,4,0,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,3.1,8.0,4.0,7.0,300.0,77.0,-1.1,1023.2,-18.2,0.0,4.7,,,,,,,,,,,False
6,2013,3,1,5,5.0,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,N,3.7,Aotizhongxin,2013-03-01 05:00:00,,,0.9659258262890683,0.25881904510252074,4,0,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,2.0,7.0,5.0,10.0,300.0,73.0,-1.1,1023.5,-18.2,0.0,5.6,,,,,,,,,,,False
7,2013,3,1,6,3.0,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,Aotizhongxin,2013-03-01 06:00:00,,,1.0,6.123233995736766e-17,4,0,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,3.7,6.0,11.0,11.0,300.0,72.0,-1.4,1024.5,-19.4,0.0,3.1,,,,,,,,,,,False
8,2013,3,1,7,3.0,6.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,Aotizhongxin,2013-03-01 07:00:00,,,0.9659258262890683,-0.25881904510252063,4,0,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,2.5,3.0,12.0,12.0,300.0,72.0,-2.0,1025.2,-19.5,0.0,2.0,,,,,,,,,,,False
9,2013,3,1,8,3.0,6.0,16.0,43.0,500.0,45.0,0.1,1028.3,-19.2,0.0,NNW,4.1,Aotizhongxin,2013-03-01 08:00:00,,,0.8660254037844387,-0.4999999999999998,4,0,6.0,19.0,41.0,500.0,43.0,-1.6,1027.4,-19.1,0.0,3.8,5.0,18.0,18.0,400.0,66.0,-2.2,1025.6,-19.6,0.0,3.7,,,,,,,,,,,False
10,2013,3,1,9,3.0,8.0,12.0,28.0,400.0,59.0,1.2,1028.5,-19.3,0.0,N,2.6,Aotizhongxin,2013-03-01 09:00:00,,,0.7071067811865476,-0.7071067811865475,4,0,6.0,16.0,43.0,500.0,45.0,0.1,1028.3,-19.2,0.0,4.1,3.0,18.0,32.0,500.0,50.0,-2.6,1026.5,-19.1,0.0,2.5,,,,,,,,,,,False
