experiment_id,view_strategy,tau,max_new_per_iter,f1_macro,accuracy,label
1,default,0.9,250,0.41011820978793473,0.5409393557675004,"default
TAU=0.9, MAX_NEW=250"
2,default,0.9,500,0.4158597317753228,0.5400395897066763,"default
TAU=0.9, MAX_NEW=500"
3,default,0.85,250,0.40880802492142226,0.5532961430028193,"default
TAU=0.85, MAX_NEW=250"
4,default,0.85,500,0.40624849660777745,0.5368004318877092,"default
TAU=0.85, MAX_NEW=500"
5,default,0.8,250,0.4129286548736332,0.5431587787175335,"default
TAU=0.8, MAX_NEW=250"
6,default,0.8,500,0.42050754220249,0.5526363145582148,"default
TAU=0.8, MAX_NEW=500"
7,default,0.75,250,0.4041184176130938,0.5388998860296323,"default
TAU=0.75, MAX_NEW=250"
8,default,0.75,500,0.415294660972613,0.5427988722932038,"default
TAU=0.75, MAX_NEW=500"
9,default,0.7,250,0.403940201361481,0.5432187631215883,"default
TAU=0.7, MAX_NEW=250"
10,default,0.7,500,0.4114375354879674,0.5486173594865335,"default
TAU=0.7, MAX_NEW=500"
11,default,0.65,250,0.4129975813032926,0.5456181392837862,"default
TAU=0.65, MAX_NEW=250"
12,default,0.65,500,0.41753417747254246,0.5520964549217203,"default
TAU=0.65, MAX_NEW=500"
13,default,0.6,250,0.41102292816337566,0.5487373282946434,"default
TAU=0.6, MAX_NEW=250"
14,default,0.6,500,0.40652021269339844,0.5421990282526543,"default
TAU=0.6, MAX_NEW=500"
